effective_date,rate,source_name,source_url,verification_status,note
2019-01-01,0.1525,"CBE MPC (series anchor)","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","synthetic_anchor","NOT a real MPC decision date. Synthetic start-of-series anchor representing the overnight deposit rate in effect at the beginning of 2019 before the February cut. Rate is approximately correct for the period. Verify against official CBE MPC decision archives."
2019-02-14,0.1425,"CBE MPC decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","provisional","Cut ~100bps; overnight deposit rate 14.25% (14.25% = 15.25% - 1.00pp implied by prior anchor row). Date and magnitude are plausible but NOT individually verified against primary source. Mark PROVISIONAL."
2019-08-22,0.1275,"CBE MPC decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","provisional","Cut ~150bps; overnight deposit rate 12.75% (12.75% = 14.25% - 1.50pp — internally consistent). Date is plausible for a scheduled MPC meeting. NOT individually verified against primary source. Mark PROVISIONAL."
2019-09-26,0.1225,"CBE MPC decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","provisional","Cut ~50bps; overnight deposit rate 12.25% (12.25% = 12.75% - 0.50pp — implied change is 50bps, NOT 100bps as incorrectly stated in earlier version of this file). Rate value is consistent with the March 2020 pre-cut level. NOT individually verified. Mark PROVISIONAL."
2020-03-16,0.0925,"CBE MPC emergency decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","high_confidence_provisional","Emergency cut 300bps due to COVID-19 pandemic; overnight deposit rate 9.25% (9.25% = 12.25% - 3.00pp — math consistent). This was a widely reported emergency decision. Rate held until March 2022. HIGH CONFIDENCE PROVISIONAL — not individually verified against CBE press release URL but widely corroborated."
2022-03-21,0.1025,"CBE MPC emergency decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","high_confidence_provisional","Emergency hike 100bps in response to global inflationary cycle; overnight deposit rate 10.25% (10.25% = 9.25% + 1.00pp — math consistent). Widely reported as CBE's first post-COVID rate increase. HIGH CONFIDENCE PROVISIONAL."
2022-05-19,0.1225,"CBE MPC decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","high_confidence_provisional","Hike 200bps; overnight deposit rate 12.25% (12.25% = 10.25% + 2.00pp — math consistent). Part of sustained 2022 hiking cycle. HIGH CONFIDENCE PROVISIONAL."
2022-07-21,0.1425,"CBE MPC decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","high_confidence_provisional","Hike 200bps; overnight deposit rate 14.25% (14.25% = 12.25% + 2.00pp — math consistent). Continuation of 2022 hiking cycle. HIGH CONFIDENCE PROVISIONAL."
2022-10-27,0.1625,"CBE MPC decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","high_confidence_provisional","Hike 200bps; overnight deposit rate 16.25% (16.25% = 14.25% + 2.00pp — math consistent). Final decision of 2022 hiking cycle. HIGH CONFIDENCE PROVISIONAL."
2023-01-05,0.1925,"CBE MPC emergency decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","corroborated_in_project","Emergency hike 300bps due to currency pressure; overnight deposit rate 19.25% (19.25% = 16.25% + 3.00pp — math consistent). CORROBORATED: tests/test_fundamentals_phase1a.py line 146 explicitly uses rf=0.19 with comment 'CBE corridor ~19.25%' — internal project cross-reference confirms this rate level for this period."
2024-03-06,0.2725,"CBE MPC decision","https://www.cbe.org.eg/en/monetary-policy/mpc-decisions","provisional_gap_risk","Overnight deposit rate 27.25% following EGP devaluation tied to IMF agreement. CAUTION: implied change from preceding row (2023-01-05 = 19.25%) is +800bps, not the '600bps' cited in earlier version of this file. Discrepancy likely explained by intermediate CBE decisions in 2023 NOT yet captured in this CSV. Rate value is consistent with default_config.py 'egx_risk_free_rate': 0.275 proxy (27.5% ≈ 27.25%). Treat as high-confidence for the rate level but provisional for the change magnitude. Intermediate 2023 decisions must be sourced from CBE before this CSV is complete for 2023 backtest dates. PARTIAL EVIDENCE: scripts/test_bull_researcher.py:106 contains fixture text 'Central Bank of Egypt held rates steady (CBE press release, 2023-12-28)' — confirms CBE held rates at year-end 2023 but provides no numeric rate level. Any intermediate 2023-H2 hikes prior to the year-end hold are not captured here."
